ownerType,ownerName,vin,unitNumber,description,make,model,year,trim,licensePlate,licensePlateJurisdiction
ORGANIZATION,Piedmont Freight,3C75S813J30000739,010,2017 Ram 5500 Flatbed,Ram,5500 Flatbed,2017,,,
ORGANIZATION,Rowan Road Services,3C7G12PBWZ000250P,010,2017 Ram 5500 Flatbed,Ram,5500 Flatbed,2017,,,
ORGANIZATION,Union Grading,3C7W0X8UK0000297L,011,2023 Ram 5500 Flatbed,Ram,5500 Flatbed,2023,,,
ORGANIZATION,LKN Propane,3FAB479AXZ000239D,006,2013 Ford Fusion,Ford,Fusion,2013,,,
INDIVIDUAL,Tanya Robinson,3FAC5DKSYS000014C,00014C,2011 Ford Fusion,Ford,Fusion,2011,,,
ORGANIZATION,LKN Propane,3FAFP4XXCG000240F,007,2020 Ford Fusion,Ford,Fusion,2020,,,
ORGANIZATION,Union Grading,3FAPX3H7VT000298C,012,2017 Ford Fusion,Ford,Fusion,2017,,,
INDIVIDUAL,Jose Rivera,3FAXMY3SR1000043J,00043J,2022 Ford Fusion,Ford,Fusion,2022,,,
INDIVIDUAL,Martha Scott,3FAYM2LL3X000058Y,00058Y,2011 Ford Fusion,Ford,Fusion,2011,,,
INDIVIDUAL,Sharon Powell,3GT0VYZ26Z000038E,00038E,2010 GMC Sierra 1500,GMC,Sierra 1500,2010,,,
INDIVIDUAL,James Caldwell,3GT7LF2PYF000012L,00012L,2021 GMC Sierra 1500,GMC,Sierra 1500,2021,,,
INDIVIDUAL,Raymond James,3GT84SYJDB000065P,00065P,2021 GMC Sierra 1500,GMC,Sierra 1500,2021,,,
INDIVIDUAL,Samuel Reed,3GT8SMXZHS0000684,000684,2023 GMC Sierra 1500,GMC,Sierra 1500,2023,,,
ORGANIZATION,Meck Tree,3GT95SCTK9000307W,007,2015 GMC Sierra 1500,GMC,Sierra 1500,2015,,,
ORGANIZATION,LKN Propane,3GTAC08E5D000236F,008,2019 GMC Sierra 1500,GMC,Sierra 1500,2019,,,
ORGANIZATION,Carolina Septic,3GTCLPKFKL000303J,007,2014 GMC Sierra 1500,GMC,Sierra 1500,2014,,,
ORGANIZATION,Carolinas Crane,3GTDE0HUGD0002258,008,2015 GMC Sierra 1500,GMC,Sierra 1500,2015,,,
INDIVIDUAL,Keith Ward,3GTDHW7NFC000054D,00054D,2012 GMC Sierra 1500,GMC,Sierra 1500,2012,,,
ORGANIZATION,Union Grading,3GTL5XEWFT0002945,013,2020 GMC Sierra 1500,GMC,Sierra 1500,2020,,,
ORGANIZATION,Piedmont Freight,3GTM5NUXSJ000071L,011,2017 GMC Sierra 1500,GMC,Sierra 1500,2017,,,
ORGANIZATION,LKN Propane,3GTN32BP8Y0002379,009,2022 GMC Sierra 1500,GMC,Sierra 1500,2022,,,
ORGANIZATION,Rowan Road Services,3GTN617UMR0002528,011,2023 GMC Sierra 1500,GMC,Sierra 1500,2023,,,
ORGANIZATION,QC Waste,3GTNB4LZDB000111K,014,2016 GMC Sierra 1500,GMC,Sierra 1500,2016,,,
ORGANIZATION,Cabarrus Cleaning,3GTNZYYU6X000202F,005,2019 GMC Sierra 1500,GMC,Sierra 1500,2019,,,
ORGANIZATION,Piedmont Ready Mix,3GTRJLEFA5000170P,015,2023 GMC Sierra 1500,GMC,Sierra 1500,2023,,,
INDIVIDUAL,Cynthia Ross,3GTTDC1UV3000041A,00041A,2021 GMC Sierra 1500,GMC,Sierra 1500,2021,,,
ORGANIZATION,LKN Propane,3GTV01G06P0002421,010,2023 GMC Sierra 1500,GMC,Sierra 1500,2023,,,
ORGANIZATION,QC Waste,3GTV6S8VEV000109C,015,2014 GMC Sierra 1500,GMC,Sierra 1500,2014,,,
ORGANIZATION,Highland Moving,3HA2GZBT0K000317H,007,2015 International MV Moving Van,International,MV Moving Van,2015,,,
ORGANIZATION,Highland Moving,3HA55XZWU4000325Y,008,2015 International MV Moving Van,International,MV Moving Van,2015,,,
ORGANIZATION,Highland Moving,3HAHA1WD8E000316L,009,2017 International MV Moving Van,International,MV Moving Van,2017,,,
ORGANIZATION,Tarheel Logistics,3HALAC26BH000145W,009,2012 International MV607 Box,International,MV607 Box,2012,,,
ORGANIZATION,Cabarrus Cleaning,3HAPP8HV3E000207C,006,2018 International MV607 Box,International,MV607 Box,2018,,,
ORGANIZATION,Cabarrus Cleaning,3HARXY40890002006,007,2021 International MV607 Box,International,MV607 Box,2021,,,
ORGANIZATION,Piedmont Freight,3HS1UZBA2R000078H,012,2016 International LT625,International,LT625,2016,,,
ORGANIZATION,Piedmont Freight,3HS76J1NEM0000808,013,2015 International LT625,International,LT625,2015,,,
ORGANIZATION,Piedmont Freight,3HSDG8UM3Z000072G,014,2022 International LT625,International,LT625,2022,,,
ORGANIZATION,Blue Stone Aggregate,3HSFYPPYLK000197C,010,2018 International LT625,International,LT625,2018,,,
ORGANIZATION,Piedmont Freight,3HSPWZDE0J0000747,015,2016 International LT625,International,LT625,2016,,,
ORGANIZATION,Carolinas Crane,3HT0US4NXK000234H,009,2020 International HV Flatbed,International,HV Flatbed,2020,,,
ORGANIZATION,Piedmont Metals,3HT2XLUBMY000279A,011,2012 International HV Flatbed,International,HV Flatbed,2012,,,
ORGANIZATION,Blue Ridge Landscaping,3HT3TKPF7W0001286,008,2020 International HV Flatbed,International,HV Flatbed,2020,,,
ORGANIZATION,Carolina Concrete,3HT9GA7S4U000093J,012,2020 International HX Dump,International,HX Dump,2020,,,
ORGANIZATION,Rowan Road Services,3HTA2ZESH8000256H,012,2014 International HX Dump,International,HX Dump,2014,,,
ORGANIZATION,Carolinas Crane,3HTB6BBWYX0002288,010,2012 International HV Flatbed,International,HV Flatbed,2012,,,
ORGANIZATION,Piedmont Metals,3HTCAHEELZ000280W,012,2014 International HX Dump,International,HX Dump,2014,,,
ORGANIZATION,Blue Stone Aggregate,3HTM60Z05X000188X,011,2014 International HX Dump,International,HX Dump,2014,,,
ORGANIZATION,Meck Tree,3HTM8705YH0003115,008,2013 International HV Flatbed,International,HV Flatbed,2013,,,
ORGANIZATION,Carolina Concrete,3HTSLWC2ED000094N,013,2018 International HX Dump,International,HX Dump,2018,,,
ORGANIZATION,Carolina Concrete,3HTW82BR9H0001007,014,2015 International HX Dump,International,HX Dump,2015,,,
ORGANIZATION,Blue Stone Aggregate,3HTXX7A8MN0001870,012,2024 International HX Dump,International,HX Dump,2024,,,
ORGANIZATION,Blue Stone Aggregate,3HTYRDY10N0001908,013,2024 International HX Dump,International,HX Dump,2024,,,
INDIVIDUAL,Marie Evans,3TM22VZ74K0000510,000510,2020 Toyota Tacoma,Toyota,Tacoma,2020,,,
ORGANIZATION,Blue Ridge Landscaping,3TM2YFXJLF000127H,009,2012 Toyota Tacoma,Toyota,Tacoma,2012,,,
INDIVIDUAL,Nicole Harrison,3TM4VNFM6W000025K,00025K,2018 Toyota Tacoma,Toyota,Tacoma,2018,,,
ORGANIZATION,SE Delivery,3TM7ZT2KPY000215F,011,2017 Toyota Tacoma,Toyota,Tacoma,2017,,,
ORGANIZATION,Blue Ridge Landscaping,3TM88DBDF2000126S,010,2014 Toyota Tacoma,Toyota,Tacoma,2014,,,
ORGANIZATION,Union Grading,3TMAPUUBLE000287V,014,2023 Toyota Tacoma,Toyota,Tacoma,2023,,,
ORGANIZATION,Blue Ridge Landscaping,3TMB0L1LCZ000122T,011,2016 Toyota Tacoma,Toyota,Tacoma,2016,,,
ORGANIZATION,Cabarrus Cleaning,3TMM0MRKD80002043,008,2021 Toyota Tacoma,Toyota,Tacoma,2021,,,
INDIVIDUAL,Virginia Henderson,3TMSAJHD8Z0000615,000615,2021 Toyota Tacoma,Toyota,Tacoma,2021,,,
INDIVIDUAL,Patricia Simmons,3TMVWW15NJ0000090,000090,2012 Toyota Tacoma,Toyota,Tacoma,2012,,,
ORGANIZATION,Meck Plumbing,3TMYWRMFDV0001564,009,2023 Toyota Tacoma,Toyota,Tacoma,2023,,,
INDIVIDUAL,Frank Murphy,4S47SUP6RK000037G,00037G,2023 Subaru Outback,Subaru,Outback,2023,,,
INDIVIDUAL,Henry Griffin,4S4MWWU83R000049P,00049P,2020 Subaru Outback,Subaru,Outback,2020,,,
INDIVIDUAL,Denise Foster,4T10551779000020J,00020J,2018 Toyota Camry,Toyota,Camry,2018,,,
INDIVIDUAL,Carl Price,4T10YLSERN0000579,000579,2019 Toyota Camry,Toyota,Camry,2019,,,
ORGANIZATION,Carolina Power,4T121LK34E0001841,010,2024 Toyota Camry,Toyota,Camry,2024,,,
INDIVIDUAL,Albert Rogers,4T15YXWUBP0000592,000592,2020 Toyota Camry,Toyota,Camry,2020,,,
ORGANIZATION,Meck Tree,4T1E7WDFKF0003151,009,2018 Toyota Camry,Toyota,Camry,2018,,,
INDIVIDUAL,Dorothy Bell,4T1GK0VY080000696,000696,2019 Toyota Camry,Toyota,Camry,2019,,,
ORGANIZATION,Carolina Fresh,4T1JXMDVK3000271L,005,2016 Toyota Camry,Toyota,Camry,2016,,,
ORGANIZATION,Meck Plumbing,4T1K2BNT0V000153F,010,2014 Toyota Camry,Toyota,Camry,2014,,,
ORGANIZATION,Piedmont Freight,4V49ZMGT7A0000791,016,2015 Volvo VNL 760,Volvo,VNL 760,2015,,,
ORGANIZATION,Tarheel Logistics,4V4ASM5BFZ0001373,010,2018 Volvo VNL 760,Volvo,VNL 760,2018,,,
ORGANIZATION,Tarheel Logistics,4V4J3AANXT0001426,011,2012 Volvo VNL 760,Volvo,VNL 760,2012,,,
ORGANIZATION,Blue Stone Aggregate,4V4LJRHMWC000198F,014,2021 Volvo VNL 760,Volvo,VNL 760,2021,,,
ORGANIZATION,Tarheel Logistics,4V4R8ZB9B90001382,012,2014 Volvo VNL 760,Volvo,VNL 760,2014,,,
ORGANIZATION,Piedmont Freight,4V4V8WMBT9000087G,017,2023 Volvo VNL 760,Volvo,VNL 760,2023,,,
ORGANIZATION,Tarheel Logistics,54DJNFWSG3000141E,013,2015 Isuzu NPR-HD Box,Isuzu,NPR-HD Box,2015,,,
ORGANIZATION,Cabarrus Cleaning,54DS014K48000201D,009,2020 Isuzu NPR-HD Box,Isuzu,NPR-HD Box,2020,,,
INDIVIDUAL,Shirley Flores,5J6BFXLA8N000048N,00048N,2017 Honda CR-V,Honda,CR-V,2017,,,
INDIVIDUAL,Douglas Stewart,5J6KZ9W15E000046N,00046N,2009 Honda CR-V,Honda,CR-V,2009,,,
INDIVIDUAL,Gary Alexander,5J6P010XFA000027W,00027W,2009 Honda CR-V,Honda,CR-V,2009,,,
INDIVIDUAL,Phyllis Long,5J6XNPJ2WF0000551,000551,2011 Honda CR-V,Honda,CR-V,2011,,,
ORGANIZATION,Rowan Road Services,5NP3WSZALR000253F,013,2022 Hyundai Sonata,Hyundai,Sonata,2022,,,
INDIVIDUAL,Cheryl Hawkins,5NP5NWHRDL0000165,000165,2013 Hyundai Sonata,Hyundai,Sonata,2013,,,
ORGANIZATION,Blue Ridge Landscaping,5NP728EJ9B000123M,012,2023 Hyundai Sonata,Hyundai,Sonata,2023,,,
INDIVIDUAL,Bruce King,5NPBDJPFL3000052B,00052B,2021 Hyundai Sonata,Hyundai,Sonata,2021,,,
ORGANIZATION,Piedmont Freight,5NPEEXDFBB000075W,018,2021 Hyundai Sonata,Hyundai,Sonata,2021,,,
INDIVIDUAL,Linda Guerrero,5NPER2ET7R000011F,00011F,2023 Hyundai Sonata,Hyundai,Sonata,2023,,,
ORGANIZATION,Carolina Septic,5NPKCBB1FC000300B,008,2015 Hyundai Sonata,Hyundai,Sonata,2015,,,
INDIVIDUAL,Larry Peterson,5NPMMNSZ9G000034Z,00034Z,2010 Hyundai Sonata,Hyundai,Sonata,2010,,,
ORGANIZATION,Carolina Fresh,5PV0CMZ86N000268Z,006,2016 Hino 338 Reefer,Hino,338 Reefer,2016,,,
ORGANIZATION,Carolina Fresh,5PV1ZVY60A000263X,007,2023 Hino 338 Reefer,Hino,338 Reefer,2023,,,
ORGANIZATION,Highland Moving,5PV2WPNJB9000324B,010,2013 Hino 268 Moving Van,Hino,268 Moving Van,2013,,,
ORGANIZATION,Carolina Power,5PV3DJ8WK3000177Y,011,2020 Hino 268 Bucket,Hino,268 Bucket,2020,,,
ORGANIZATION,Highland Moving,5PV6DY23W6000318T,011,2012 Hino 268 Moving Van,Hino,268 Moving Van,2012,,,
ORGANIZATION,Highland Moving,5PV88PRS40000320H,012,2018 Hino 268 Moving Van,Hino,268 Moving Van,2018,,,
ORGANIZATION,Carolina Fresh,5PV8M4JMSA0002692,008,2013 Hino 338 Reefer,Hino,338 Reefer,2013,,,
ORGANIZATION,Carolina Fresh,5PV9MRA658000258Z,009,2022 Hino 338 Reefer,Hino,338 Reefer,2022,,,
ORGANIZATION,SE Delivery,5PVDG5WB2Y0002203,012,2016 Hino 268 Box,Hino,268 Box,2016,,,
ORGANIZATION,Tarheel Logistics,5PVGR41L95000132D,014,2015 Hino 268 Box,Hino,268 Box,2015,,,
ORGANIZATION,Highland Moving,5PVMTEK0TW000319C,013,2018 Hino 268 Moving Van,Hino,268 Moving Van,2018,,,
ORGANIZATION,Highland Moving,5PVNAC49SE0003223,014,2015 Hino 268 Moving Van,Hino,268 Moving Van,2015,,,
ORGANIZATION,Carolina Fresh,5PVRUMSHHB000264M,010,2017 Hino 338 Reefer,Hino,338 Reefer,2017,,,
ORGANIZATION,Carolina Fresh,5PVSHMN7EL0002625,011,2015 Hino 338 Reefer,Hino,338 Reefer,2015,,,
ORGANIZATION,Tarheel Logistics,5PVU3ZB71X0001408,015,2016 Hino 268 Box,Hino,268 Box,2016,,,
ORGANIZATION,QC Waste,5VCMMZ4FV20001046,016,2024 Autocar ACX Refuse,Autocar,ACX Refuse,2024,,,
ORGANIZATION,Carolinas Crane,5VCN3U504R000230N,011,2021 National NBT Boom Truck,National,NBT Boom Truck,2021,,,
ORGANIZATION,Carolina Fresh,JAL3FLZC5B000265G,012,2021 Isuzu FTR Reefer,Isuzu,FTR Reefer,2021,,,
ORGANIZATION,Carolina Fresh,JALRL80FH70002668,013,2016 Isuzu FTR Reefer,Isuzu,FTR Reefer,2016,,,
ORGANIZATION,Carolina Fresh,JALVEUSJLC000261X,014,2020 Isuzu FTR Reefer,Isuzu,FTR Reefer,2020,,,
ORGANIZATION,Tarheel Logistics,WD45F24HPL000136X,016,2019 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2019,,,
ORGANIZATION,Carolina Power,WD47CUCA3B000174S,012,2022 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2022,,,
ORGANIZATION,Carolina Power,WD498NSFJ4000179E,013,2023 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2023,,,
ORGANIZATION,SE Delivery,WD4BKUVDTT0002128,013,2019 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2019,,,
ORGANIZATION,SE Delivery,WD4DKDN77F0002103,014,2012 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2012,,,
ORGANIZATION,Carolina Fresh,WD4DYJ50XA000259R,015,2012 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2012,,,
ORGANIZATION,Tarheel Logistics,WD4GS5S8BF0001464,017,2018 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2018,,,
ORGANIZATION,SE Delivery,WD4YL24NXC000221D,015,2019 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2019,,,
ORGANIZATION,SE Delivery,WD4ZMVK57T000219C,016,2017 Mercedes-Benz Sprinter 2500,Mercedes-Benz,Sprinter 2500,2017,,,
